TRAN_ID,AMOUNT,RESULT_CODE,MRCH_ID,MONTH
16,51597.94,HOST TIMEOUT,5002,4
659,2260243.34,CAPTURED,1110110,6
164,134670.45,NOT CAPTURED,5001,7
108,1265152.05,NOT CAPTURED,5002,10
213,354505.99,CAPTURED,5001,10
2,200,DENIED BY RISK,1110110,10
2,5687,HOST TIMEOUT,5002,11
1,100,DENIED BY RISK,1110110,11
1711,4072186.11,CAPTURED,5002,12
589,1027280.42,CAPTURED,1110110,12
6,8944.68,HOST TIMEOUT,5002,12
2,1097.82,HOST TIMEOUT,5002,1
32,65434.04,NOT CAPTURED,5001,2
377,779474.39,NOT CAPTURED,1110110,3
26,48955.81,NOT CAPTURED,5001,3
172,182518.7,NOT CAPTURED,1110110,4
11,20833.11,DENIED BY RISK,5002,4
8,191166.95,DENIED BY RISK,5002,6
504,869225.94,CAPTURED,1110110,8
87,625220.57,NOT CAPTURED,5002,12
4,1846,DENIED BY RISK,5001,1
11,4042.7,DENIED BY RISK,5002,2
2074,2547319.81,CAPTURED,1110110,3
1934,6785262.93,CAPTURED,5002,5
3,30370.72,HOST TIMEOUT,5002,6
279,1495746.87,NOT CAPTURED,5002,7
547,1434987.14,CAPTURED,1110110,7
19,116975.22,HOST TIMEOUT,1110110,7
1,581,DENIED BY RISK,1110110,7
9,6311.55,HOST TIMEOUT,1110110,8
2,2536.55,DENIED BY RISK,5002,8
1,701,HOST TIMEOUT,5001,8
6,6937,HOST TIMEOUT,5002,9
1,266.95,DENIED BY RISK,1110110,9
81,1101440.62,NOT CAPTURED,5002,11
1506,4651709.39,CAPTURED,5002,1
1449,4147403.81,CAPTURED,5002,2
32,41995.28,HOST TIMEOUT,1110110,3
1223,1365561.06,CAPTURED,1110110,4
127,152150.37,NOT CAPTURED,1110110,5
2,1866.76,HOST TIMEOUT,5001,5
2,20100,HOST TIMEOUT,1110110,6
997,704307.25,CAPTURED,5001,7
310,330839.07,CAPTURED,5001,8
625,1172529.3,CAPTURED,1110110,9
1,99,DENIED BY RISK,5002,9
793,1246389.3,CAPTURED,1110110,10
210,335250.47,CAPTURED,5001,11
320,385412.38,CAPTURED,5001,12
409,2662122.32,NOT CAPTURED,5002,4
49,115359.33,NOT CAPTURED,5001,4
674,947914.77,CAPTURED,1110110,5
1,605,DENIED BY RISK,1110110,5
250,414279.99,CAPTURED,5001,6
1,1178.82,DENIED BY RISK,5001,7
1,1089.36,DENIED BY RISK,1110110,8
1794,4455375.35,CAPTURED,5002,9
3,7871,DENIED BY RISK,5002,11
48,266471.28,NOT CAPTURED,1110110,12
477,1909011.63,NOT CAPTURED,5002,1
112,392748.74,NOT CAPTURED,5001,1
173,238050.28,CAPTURED,5001,3
313,1663938.4,NOT CAPTURED,5002,3
10,3676.98,DENIED BY RISK,1110110,3
1,1779,HOST TIMEOUT,5002,3
332,2053634.84,NOT CAPTURED,5002,5
204,257635.03,CAPTURED,5001,5
1,251.75,HOST TIMEOUT,1110110,5
2098,5823858.12,CAPTURED,5002,6
25,35364.41,NOT CAPTURED,5001,6
166,928194.38,NOT CAPTURED,1110110,6
1857,4393646.81,CAPTURED,5002,8
123,1103307.56,NOT CAPTURED,5002,9
38,266803.92,NOT CAPTURED,1110110,9
5,6009.54,HOST TIMEOUT,5001,12
1,199,DENIED BY RISK,5002,12
26,153276.69,DENIED BY RISK,5002,1
275,740078.42,NOT CAPTURED,5002,2
3,39898,DENIED BY RISK,5002,3
2038,5962365.51,CAPTURED,5002,4
285,375543.96,CAPTURED,5001,4
1,910,DENIED BY RISK,1110110,4
43,49997.66,NOT CAPTURED,5001,5
5,79461,HOST TIMEOUT,5002,5
346,2638931.14,NOT CAPTURED,5002,6
1,1174.8,DENIED BY RISK,1110110,6
2,1593,HOST TIMEOUT,5001,7
9,24103,DENIED BY RISK,5002,7
41,854766.12,NOT CAPTURED,1110110,8
118,2110172.79,NOT CAPTURED,5002,8
220,256540.06,CAPTURED,5001,9
16,565812.81,NOT CAPTURED,5001,9
3,10090,DENIED BY RISK,5002,10
671,994197.69,CAPTURED,1110110,11
53,479098.76,NOT CAPTURED,1110110,11
13,97674.1,NOT CAPTURED,5001,12
257,321443.31,CAPTURED,5001,1
177,301598.96,CAPTURED,5001,2
1655,4591544.32,CAPTURED,5002,3
1,8000,DENIED BY RISK,5002,5
2007,5495265.26,CAPTURED,5002,7
149,1051482.77,NOT CAPTURED,1110110,7
13,65264.35,HOST TIMEOUT,5002,7
6,93297.74,HOST TIMEOUT,5002,8
15,19208.91,NOT CAPTURED,5001,8
1,768.96,HOST TIMEOUT,1110110,9
1789,3815021.26,CAPTURED,5002,10
4,1467.84,HOST TIMEOUT,5002,10
46,671974.4,NOT CAPTURED,1110110,10
3,2996.46,NOT CAPTURED,5001,10
3,1681,HOST TIMEOUT,1110110,10
1686,4247499.53,CAPTURED,5002,11
7,29422.25,NOT CAPTURED,5001,11
2,200,HOST TIMEOUT,1110110,11
